Brand,Price Value,Currency,Rating,Ratings Count,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,Resolution Width,Resolution Height
Universal,4.42,$,Unknown,4.0,Intel,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,Unknown,Windows 10,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,699.99,$,Unknown,4.0,Intel Core i5 11th Gen.,14.0,Unknown,Silver,16 GB,512 GB,Intel Iris Xe Graphics,2.60 GHz,Notebook/Laptop,2022,Dell Latitude 5420,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",512 GB,China,SSD (Solid State Drive),1920.0,1080.0
Dell,119.9,$,Unknown,4.0,Unknown,14.1,Unknown,Black,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,E5400,Windows XP,Unknown,Unknown,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Lenovo,179.99,$,Unknown,4.0,Intel Core i5 4th Gen.,14.0,Unknown,Unknown,12 GB,512 GB,Unknown,2.60 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad T440P,Windows 10,Unknown,512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,30.0,$,Unknown,4.0,AMD Turion X2,15.4,Unknown,Unknown,2 GB,250 GB,Unknown,2.10 GHz,Notebook/Laptop,Unknown,Turion,linux Mint,Unknown,160 GB,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Lenovo,565.09,$,Unknown,4.0,Intel Core i3 10th generation,15.0,Unknown,Unknown,Unknown,256GB,Intel UHD Graphics,1.00-1.49GHz,Notebook/Laptop,Unknown,82C5,Windows 11 pros,"Webcam integrated, Wi-Fi, Water resistant, Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Dell,189.0,$,Unknown,4.0,Intel Core i5 4th Gen.,14.0,Unknown,Unknown,8 GB,512 GB,Intel Graphics Family,2.70 GHz,Notebook/Laptop,Unknown,Dell Latitude E6440,Windows 10,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi, Widescreen Display",Unknown,United States,SSD (Solid State Drive),1920.0,1080.0
HP,49.99,$,Unknown,4.0,Intel Core i5-3210M,15.5,Unknown,Unknown,4 GB,Unknown,Unknown,2.50 GHz,Unknown,Unknown,HP Probook 6570B,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,234.56,$,Unknown,4.0,Intel Core i5 9th Gen.,14.0,Unknown,Gray,16 GB,128 GB,Intel UHD Graphics 630,2.50 GHz,Notebook/Laptop,2019,Dell Latitude 5401,Windows 10 Pro,"5G,  Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
LG,849.99,$,Unknown,4.0,Intel Core i7 13th Gen.,15.6,Neptune Blue,Blue,16 GB,512 GB,Intel Iris Xe Graphics,2.20 GHz,Notebook/Laptop,2023,LG gram SuperSlim,Windows 11 Home,"Bluetooth, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,29.95,$,Unknown,4.0,Unknown,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,Dell Precision M4600,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Acer,435.0,$,Unknown,4.0,Intel Core i5 11th Gen.,15.6,Unknown,Black,16 GB,256 GB,Nvidia Geforce RTX 1650,2.60 GHz,Notebook/Laptop,2021,Nitro 5 AN515-54-70KK,Windows 11,"Backlit Keyboard,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,398.07,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,480GB,Nvidia GeForce GT720M,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Dell,328.51,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,240GB,Nvidia GeForce GT720M,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 11 Pro,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Lenovo,325.27,$,Unknown,4.0,Intel Core i5 6th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 620,2.80 GHz,Notebook/Laptop,Unknown,T470s,Windows 11 Pro,"Touch ID, 10/100 LAN Card, Wi-Fi, Backlit Keyboard, Bluetooth",NO,Unknown,Unknown,1920.0,1080.0
Dell,588.65,$,Unknown,4.0,Intel Core i5 4th Gen.,13.3,Unknown,Unknown,Unknown,Unknown,Unknown,2.50GHz,Notebook/Laptop,Unknown,E6320,Windows 10,Built-in Webcam,320GB,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Dell,360.49,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4000,Unknown,Unknown,Unknown,E5430,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Lenovo,529.99,$,Unknown,4.0,Intel Core i7 11th Gen.,13.3,Unknown,Black,16 GB,256 GB,Intel Iris Xe Graphics,3.00 GHz,Notebook/Laptop,2021,Lenovo ThinkPad X13 Yoga 2nd Gen.,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1200.0
Dell,574.94,$,Unknown,4.0,Intel Core i5,13.3,Unknown,Gray / Silver,8 GB,1 TB,Unknown,up to 2.80 GHz,Notebook/Laptop,Unknown,Dell XPS 13 9350,Windows 10,Unknown,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Microsoft,219.56,$,Unknown,4.0,INTEL I5 10TH GEN,12.0,Unknown,Unknown,128 GB,128 GB,Unknown,Unknown,Unknown,Unknown,Microsoft Surface Go,Windows 10,Unknown,128 GB,Unknown,Unknown,1920.0,1080.0
HP,49.99,$,Unknown,4.0,Intel Pentium Silver,14.0,Unknown,Silver,4 GB,64 GB,Intel HD Graphics,2.70 GHz,Notebook/Laptop,Unknown,Samsung ChromeBook,Chrome OS,"Wi-Fi, Built-in Webcam, Bluetooth, Built-in Microphone",4 GB,Unknown,eMMC,1366.0,768.0
Dell,420.58,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 4000,2.00-3.00GHz,Notebook/Laptop,Unknown,E6430,Windows 10 Pros,"10/100 LAN Card, Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Panasonic,199.99,$,Unknown,4.0,core i5 m520,15.4,Unknown,Silver,4 GB,Unknown,Unknown,2.40 GHz,Notebook/Laptop,Unknown,Panasonic Toughbook CF-52,Windows XP,"Wi-Fi,  WiFi",160 GB,Unknown,HDD (Hard Disk Drive),1280.0,800.0
Microsoft,255.0,$,Unknown,4.0,Intel Core i5 10th Gen.,12.3,Unknown,Black,8 GB,128 GB,Intel Iris Plus Graphics,1.10 GHz,Notebook/Laptop,Unknown,Surface Pro 7,Windows 11 Home,"Touchscreen,  Bluetooth,  Built-in Webcam,  Wi-Fi,  Built-in Microphone",128 GB,Unknown,SSD (Solid State Drive),2736.0,1824.0
Unknown,19.58,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,433.3,$,Unknown,4.0,Intel Core i5 4th generation,15.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,Unknown,A574,Windows 10 pros,"10/100 LAN Card,  Optical Drive,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Dell,384.1,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 4400,Unknown,Laptop,Unknown,E5440,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Dell,21.95,$,Unknown,4.0,AMD Turion 64,15.4,Unknown,Unknown,4 GB,180GB,ATI Radeon Xpress Series,2.00GHz,Notebook/Laptop,Unknown,Dell Inspiron 1501,Windows 10,"Built-in Microphone,  Built-in Webcam,  Optical Drive",500 GB,Unknown,HDD (Hard Disk Drive),1280.0,800.0
Dell,384.1,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4400,Unknown,Laptop,Unknown,E5440,Windows 11 Pro,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Dell,19.0,$,Unknown,4.0,UNKNOWN,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,DELL INSPIRON P32E,Not Included,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,399.8,$,Unknown,4.0,Intel Core i5 6th generation,14.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 620,Unknown,NOTEBOOK,Unknown,T470s,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
HP,150.39,$,Unknown,4.0,Intel Celeron N4020,12.0,Unknown,White,4 GB,32 GB,Intel UHD Graphics 600,1.1 GHz,2 IN 1 CHROMEBOOK,Unknown,HP CHROMEBOOK x360 12b-ca001nr 2 in 1,Chrome OS,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",Unknown,United States,eMMC,1366.0,912.0
Acer,399.0,$,Unknown,4.0,Intel Core i3 11th Gen.,17.3,Unknown,STEEL GRAY,8 GB,256 GB,Intel UHD Graphics,3.00 GHz,Notebook/Laptop,2023,Acer Aspire 3,Windows 11 Home,Bluetooth,256 GB,China,SSD (Solid State Drive),1600.0,900.0
HP,230.0,$,Unknown,4.0,Intel Core i7 8th Gen.,14.0,Unknown,Silver,Unknown,256 GB,Intel HD Graphics 620,1.80 GHz,Notebook/Laptop,Unknown,Hp Elitebook 840 G6,Windows 10,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi, Smart Card reader",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
XPLORE,890.0,$,Unknown,4.0,Intel Pentium,10.0,Unknown,Unknown,8 GB,128 GB,Intel HD Graphics 620,1.1 GHz,Notebook/Laptop,Unknown,Xplore X10,Windows 10 Pro,"Bluetooth, Built-in Webcam, Rugged, Touchscreen, Widescreen Display, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Unknown,412.2,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,799.99,$,Unknown,4.0,AMD Ryzen 7 7000 Series,13.3,Dark Teal,Green,16 GB,1 TB,AMD Radeon Graphics,2.00 GHz,Notebook/Laptop,2022,Lenovo Yoga 6 13ABR8,Windows 11 Home,"Touchscreen, Convertible 2-in-1 Laptop/Tablet, Touch ID",Unknown,Unknown,SSD (Solid State Drive),1920.0,1200.0
Dell,449.83,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,960GB,Nvidia GeForce GT720M,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Dell Latitude,489.57,$,Unknown,4.0,Intel fast processor,14.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WARRANTY: 90 DAYS. WARRANTY,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
DELL,215.99,$,Unknown,4.0,Intel Core i7 6th Gen.,15.6,Unknown,Unknown,16 GB,512 GB,NVIDIA Quadro M620,2.70GHz,Notebook/Laptop,Unknown,PRECISION 3520,Windows 10 Pro,"Built-in Microphone,  Backlit Keyboard,  10/100 LAN Card,  Multi-Touch Trackpad,  Bluetooth,  Built-in Webcam,  Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Lenovo,200.0,$,4.5 out of 5 stars,24.0,MediaTek,10.1,"Iron Grey, Ice Blue","Gray, Blue",4 GB,128 GB,ARM Mali-G72,2.00 GHz,Notebook/Laptop,Unknown,Samsung ChromeBook,Chrome OS,"Bluetooth, Built-in Webcam, Wi-Fi",Unknown,Unknown,"SSD (Solid State Drive), HDD + SSD",1920.0,1200.0
Dell,300.0,$,Unknown,4.0,Intel Core i7 7th Gen.,15.0,Unknown,Gray,8 GB,256 GB,NVIDIA GeForce GTX 1050 Ti,2.80 GHz,Notebook/Laptop,2017,Alienware 15 R3,Windows 10 Home,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",1 TB,Unknown,HDD + SSD,1920.0,1080.0
Toshiba,52.0,$,Unknown,4.0,Unknown,9.5,Unknown,Beige,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,Toshiba Satellite,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,120.0,$,Unknown,4.0,AMD E-Series,14.0,Unknown,Silver,8 GB,512 GB,AMD Radeon Graphics,1.80 GHz,Notebook/Laptop,2016,14-an013nr,Windows 11 Home,"Wi-Fi, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad",512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,358.8,$,Unknown,4.0,Intel Core i5 5th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 5500,2.70 GHz,Notebook/Laptop,Unknown,E7450,Windows 11 Pro,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Unknown,65.26,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Microsoft,220.0,$,Unknown,4.0,Core i7 4th Gen,12.3,Unknown,Unknown,8 GB,512 GB,Unknown,1.70 GHz,Unknown,Unknown,Microsoft Surface Pro,Windows 10,Unknown,512 GB,Unknown,Unknown,1920.0,1080.0
Dell,299.99,$,Unknown,4.0,Intel Core i3 8th Gen.,13.3,Unknown,Silver,8 GB,128 GB,Unknown,2.10 GHz,Notebook/Laptop,Unknown,Dell G3,Windows 10 Pro,"Wi-Fi, Touchscreen, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Bluetooth",128 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,719.99,$,Unknown,4.0,Intel Core i7 11th Gen.,13.0,Unknown,Black,16 GB,256 GB,Intel Iris Xe Graphics,2.10 GHz,Notebook/Laptop,2021,Lenovo ThinkPad X1,Windows 11 Pro,"Bluetooth, Built-in Webcam, Built-in Microphone",256 GB,Unknown,SSD (Solid State Drive),2160.0,1350.0
HP,125.0,$,Unknown,4.0,Intel Core i7 5th Gen.,15.5,Unknown,Unknown,16 GB,500 GB,Unknown,2.60 GHz,Notebook/Laptop,Unknown,HP EliteBook 850 G2,Unknown,Unknown,500 GB,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
HP,89.99,$,Unknown,4.0,Unknown,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,HP 15-dw0xxx,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,313.53,$,Unknown,4.0,Intel Core i5 5th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 5500,2.70 GHz,Notebook/Laptop,Unknown,E7450,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Dell,302.83,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4000,2.00-3.00GHz,Notebook/Laptop,Unknown,E6430,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,433.26,$,Unknown,4.0,Intel Core i5 4th generation,15.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,Unknown,A574,Windows 11 pros,"10/100 LAN Card, Optical Drive, Wi-Fi, Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,194.69,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,103.39,$,Unknown,4.0,Intel Core i3 5th Gen.,15.6,Unknown,Black,4 GB,Unknown,INTEL HD GRAPHICS 5500,2.00 GHz,Notebook/Laptop,Unknown,INSPIRON 15 3543,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Wi-Fi",500 GB,Unknown,HDD (Hard Disk Drive),1366.0,768.0
Dell,79.99,$,Unknown,4.0,Intel Core i7 3rd Gen.,14.0,Unknown,Black,4 GB,Unknown,Intel HD Graphics 4000,3.00 GHz,Notebook/Laptop,Unknown,Dell Latitude E5430,Windows 7,Optical Drive,500 GB,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Sony,284.99,$,Unknown,4.0,Pentium D,15.5,Unknown,Silver,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,2010,SVE15113FJW,Windows 10,Bluetooth,640 GB,Japan,HDD (Hard Disk Drive),1920.0,1080.0
Lenovo,112.49,$,Unknown,4.0,i7-4600M,14.0,Unknown,Black,8 GB,Unknown,Unknown,2.90 GHz,Notebook/Laptop,Unknown,T440P,Windows 10 Pro,"Built-in Webcam, Optical Drive, Wi-Fi",500 GB,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Panasonic,325.0,$,Unknown,4.0,Intel Core i5 3rd Gen.,13.0,Unknown,Multi-Color,8 GB,256 GB,Unknown,2.60GHz,Notebook/Laptop,Unknown,CF-31S,Not Included,"Bluetooth,  Rugged,  Touchscreen,  Wi-Fi",256 GB,Unknown,SSD (Solid State Drive),1024.0,768.0
Lenovo,500.0,$,Unknown,4.0,Core i5 8250U,14.0,Unknown,Unknown,16 GB,128 GB,Unknown,1.6GHz,Laptop,Unknown,T480,Windows 10 Pro,Unknown,No,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Dell,399.99,$,Unknown,4.0,Intel Core i7 7th Gen.,15.6,Unknown,Black,32 GB,1tb,Quadro M620,2.80 GHz,Notebook/Laptop,Unknown,Dell Precision 3520,Windows 11 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",1tb,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,55.0,$,Unknown,4.0,i5,14.0,Unknown,Unknown,4 GB,Unknown,Unknown,2.30 GHz,Unknown,Unknown,Dell Latitude E7450,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Microsoft,150.0,$,Unknown,4.0,Intel Core i5 8th Gen.,12.1,Unknown,Unknown,Unknown,256 GB,Unknown,2.60 GHz,Unknown,Unknown,Microsoft Surface Pro,Windows 11 Pro,Unknown,256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,363.0,$,5 out of 5 stars,3.0,Intel Core i7 8th Gen.,14.0,Unknown,Black,16 GB,256 GB,Intel UHD Graphics 620,1.90 GHz,Notebook/Laptop,2019,Dell Latitude 7490,Windows 11 Pro,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Optane Memory, 10/100 LAN Card, Multi-Touch Trackpad, Backlit Keyboard, Built-in Microphone",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Samsung,94.99,$,5 out of 5 stars,2.0,Intel Celeron N,14.0,Silver,Silver,4 GB,32 GB,Intel UHD Graphics,1.10 GHz,Notebook/Laptop,Unknown,Samsung Galaxy Chromebook Go,Chrome OS,"Bluetooth, Wi-Fi, LTE",Unknown,Unknown,eMMC,1366.0,768.0
Razer,699.99,$,Unknown,4.0,Intel Core i7 8th Gen.,15.6,Unknown,Black,16 GB,512 GB,NVIDIA GeForce RTX 2080,2.20 GHz,Notebook/Laptop,2019,Razer Blade 15 Advanced Edition,Windows 10,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Wi-Fi",Unknown,Unknown,Solid State Drive,1920.0,1080.0
Samsung,135.0,$,Unknown,4.0,Intel Celeron N,14.0,Silver,Silver,4 GB,32 GB,Intel UHD Graphics,1.10 GHz,Notebook/Laptop,Unknown,Samsung Galaxy Chromebook Go,Chrome OS,"Bluetooth, Wi-Fi, LTE",Unknown,Unknown,eMMC,1366.0,768.0
Dell,99.99,$,Unknown,4.0,Intel Core i5 5th Gen.,14.0,Unknown,Black,8 GB,Unknown,Intel HD Graphics,2.30 GHz,Notebook/Laptop,Unknown,Dell Latitude E5450,Unknown,Unknown,8 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
Dell,375.0,$,Unknown,4.0,Intel Core i5 7th Gen.,15.6,Unknown,Black,128 GB,128 GB,NVIDIA GeForce GTX 1050,2.50 GHz,Notebook/Laptop,Unknown,15,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",1 TB,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
HP,250.0,$,Unknown,4.0,Intel Celeron N,14.0,Unknown,Unknown,4 GB,64 GB,Unknown,Unknown,Notebook/Laptop,Unknown,Unknown,Unknown,Touchscreen,64 GB,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,390.83,$,Unknown,4.0,Intel Core i3 4th generation,13.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,Unknown,E734,Windows 10 pros,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,208.83,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,88.57,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,139.19,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,135.96,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unbranded/Generic,12.59,$,Unknown,4.0,Unknown,14.0,Unknown,Black,Unknown,Unknown,Unknown,Unknown,Power Adapter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Asus,170.82,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,462.06,$,Unknown,4.0,Intel Core i5 6th generation,13.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,Unknown,E736,Windows 11 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Toshiba,38.0,$,3.5 out of 5 stars,4.0,Intel Celeron,13.3,Unknown,Gray,4 GB,16 GB,Unknown,2.16 GHz,Notebook/Laptop,Unknown,2,Chrome OS,"Webcam, Bluetooth, Wi-Fi, Bluetooth, Wi-Fi",16 GB,United States,SSD (Solid State Drive),1920.0,1080.0
Microsoft,510.0,$,Unknown,4.0,Microsoft SQ1,13.0,Unknown,Black,8 GB,128 GB,Microsoft SQ1 Adreno 685,3.00 GHz,Convertible 2-in-1 Laptop/Tablet,2019,Microsoft Surface Pro X,Windows 10,"Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Touchscreen, Rear Facing Camera, Tablet PC",8 GB,Unknown,SSD (Solid State Drive),2880.0,1920.0
Toshiba,113.89,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,219.99,$,Unknown,4.0,Intel Celeron N,14.0,Unknown,Black,8 GB,128 GB,Intel UHD Graphics,1.10 GHz,Notebook/Laptop,Unknown,HP ProBook Fortis 14 inch G9,Windows 10 Pro,"8 GB, BT, Cam, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Lenovo,113.87,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,303.59,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 4400,Unknown,Laptop,Unknown,E5440,Windows 11 Pro,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Unknown,259.95,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,HD 520,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,99.99,$,4.5 out of 5 stars,4.0,Intel Core i5 4th Gen.,15.6,Unknown,Black,8 GB,256 GB,Intel HD Graphics 4600,2.60 GHz,Notebook/Laptop,Unknown,HP Probook 650 G1,Windows 10 Pro,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Dell,311.96,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,120GB,Nvidia GeForce GT720M,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,390.83,$,Unknown,4.0,Intel Core i3 4th generation,13.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,Unknown,E734,Windows 10 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Dell,455.54,$,Unknown,4.0,i7-7660U,13.3,Unknown,Unknown,16 GB,512 GB,Unknown,1.80 GHz,Unknown,2017,Dell XPS 13 9360,Windows 11 Pro,Touchscreen,512 GB,Unknown,Unknown,1920.0,1080.0
Lenovo,390.98,$,Unknown,4.0,Intel Core i7 7th generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 620,3.50 GHz,Notebook/Laptop,Unknown,T470s,Windows 10 Pros,"Touch ID, 10/100 LAN Card, Wi-Fi, Backlit Keyboard, Bluetooth",NO,Unknown,Unknown,1920.0,1080.0
